,P(H),P(D|H),P(D),P(H|D)
0,0,0,2.69E-25,0
1,0.009901,1.18E-31,2.69E-25,4.32E-09
2,0.019802,4.43E-28,2.69E-25,3.26E-05
3,0.029703,2.18E-26,2.69E-25,0.002409
4,0.039604,1.80E-25,2.69E-25,0.026443
5,0.049505,5.49E-25,2.69E-25,0.100979
6,0.059406,8.88E-25,2.69E-25,0.195991
7,0.069307,9.19E-25,2.69E-25,0.236602
8,0.079208,6.81E-25,2.69E-25,0.200369
9,0.089109,3.89E-25,2.69E-25,0.128611
10,0.09901,1.79E-25,2.69E-25,0.065953
11,0.108911,6.93E-26,2.69E-25,0.02805
12,0.118812,2.30E-26,2.69E-25,0.010169
13,0.128713,6.71E-27,2.69E-25,0.003208
14,0.138614,1.74E-27,2.69E-25,0.000895
15,0.148515,4.05E-28,2.69E-25,0.000223
16,0.158416,8.58E-29,2.69E-25,5.05E-05
17,0.168317,1.66E-29,2.69E-25,1.04E-05
18,0.178218,2.96E-30,2.69E-25,1.96E-06
19,0.188119,4.88E-31,2.69E-25,3.41E-07
20,0.19802,7.48E-32,2.69E-25,5.50E-08
21,0.207921,1.07E-32,2.69E-25,8.23E-09
22,0.217822,1.42E-33,2.69E-25,1.15E-09
23,0.227723,1.77E-34,2.69E-25,1.50E-10
24,0.237624,2.07E-35,2.69E-25,1.83E-11
25,0.247525,2.28E-36,2.69E-25,2.09E-12
26,0.257426,2.35E-37,2.69E-25,2.25E-13
27,0.267327,2.28E-38,2.69E-25,2.27E-14
28,0.277228,2.09E-39,2.69E-25,2.15E-15
29,0.287129,1.79E-40,2.69E-25,1.91E-16
30,0.29703,1.45E-41,2.69E-25,1.60E-17
31,0.306931,1.11E-42,2.69E-25,1.27E-18
32,0.316832,7.97E-44,2.69E-25,9.38E-20
33,0.326733,5.39E-45,2.69E-25,6.54E-21
34,0.336634,3.43E-46,2.69E-25,4.29E-22
35,0.346535,2.05E-47,2.69E-25,2.64E-23
36,0.356436,1.15E-48,2.69E-25,1.52E-24
37,0.366337,6.06E-50,2.69E-25,8.25E-26
38,0.376238,2.99E-51,2.69E-25,4.18E-27
39,0.386139,1.38E-52,2.69E-25,1.99E-28
40,0.39604,5.99E-54,2.69E-25,8.81E-30
41,0.405941,2.42E-55,2.69E-25,3.64E-31
42,0.415842,9.10E-57,2.69E-25,1.41E-32
43,0.425743,3.19E-58,2.69E-25,5.04E-34
44,0.435644,1.04E-59,2.69E-25,1.68E-35
45,0.445545,3.13E-61,2.69E-25,5.18E-37
46,0.455446,8.73E-63,2.69E-25,1.48E-38
47,0.465347,2.25E-64,2.69E-25,3.89E-40
48,0.475248,5.34E-66,2.69E-25,9.42E-42
49,0.485149,1.16E-67,2.69E-25,2.09E-43
50,0.49505,2.32E-69,2.69E-25,4.26E-45
51,0.50495,4.22E-71,2.69E-25,7.92E-47
52,0.49505,6.99E-73,2.69E-25,1.29E-48
53,0.485149,1.05E-74,2.69E-25,1.89E-50
54,0.475248,1.42E-76,2.69E-25,2.51E-52
55,0.465347,1.74E-78,2.69E-25,3.00E-54
56,0.455446,1.90E-80,2.69E-25,3.21E-56
57,0.445545,1.85E-82,2.69E-25,3.06E-58
58,0.435644,1.60E-84,2.69E-25,2.59E-60
59,0.425743,1.22E-86,2.69E-25,1.93E-62
60,0.415842,8.15E-89,2.69E-25,1.26E-64
61,0.405941,4.75E-91,2.69E-25,7.16E-67
62,0.39604,2.40E-93,2.69E-25,3.53E-69
63,0.386139,1.04E-95,2.69E-25,1.49E-71
64,0.376238,3.85E-98,2.69E-25,5.38E-74
65,0.366337,1.20E-100,2.69E-25,1.64E-76
66,0.356436,3.10E-103,2.69E-25,4.17E-79
67,0.346535,6.80E-106,2.69E-25,8.80E-82
68,0.336634,1.20E-108,2.69E-25,1.52E-84
69,0.326733,1.70E-111,2.69E-25,2.12E-87
70,0.316832,2.00E-114,2.69E-25,2.37E-90
71,0.306931,1.80E-117,2.69E-25,2.07E-93
72,0.29703,1.30E-120,2.69E-25,1.40E-96
73,0.287129,6.80E-124,2.69E-25,7.20E-100
74,0.277228,2.70E-127,2.69E-25,2.80E-103
75,0.267327,7.70E-131,2.69E-25,7.70E-107
76,0.257426,1.60E-134,2.69E-25,1.50E-110
77,0.247525,2.20E-138,2.69E-25,2.00E-114
78,0.237624,2.10E-142,2.69E-25,1.80E-118
79,0.227723,1.30E-146,2.69E-25,1.10E-122
80,0.217822,4.60E-151,2.69E-25,3.70E-127
81,0.207921,1.00E-155,2.69E-25,7.80E-132
82,0.19802,1.20E-160,2.69E-25,8.80E-137
83,0.188119,7.40E-166,2.69E-25,5.20E-142
84,0.178218,2.20E-171,2.69E-25,1.50E-147
85,0.168317,2.80E-177,2.69E-25,1.80E-153
86,0.158416,1.40E-183,2.69E-25,8.20E-160
87,0.148515,2.30E-190,2.69E-25,1.30E-166
88,0.138614,1.10E-197,2.69E-25,5.60E-174
89,0.128713,1.10E-205,2.69E-25,5.50E-182
90,0.118812,2.10E-214,2.69E-25,9.10E-191
91,0.108911,4.40E-224,2.69E-25,1.80E-200
92,0.09901,6.50E-235,2.69E-25,2.40E-211
93,0.089109,3.40E-247,2.69E-25,1.10E-223
94,0.079208,2.20E-261,2.69E-25,6.50E-238
95,0.069307,3.50E-278,2.69E-25,9.10E-255
96,0.059406,9.40E-299,2.69E-25,2.10E-275
97,0.049505,0,2.69E-25,0
98,0.039604,0,2.69E-25,0
99,0.029703,0,2.69E-25,0
