,P(H),P(D|H),P(D),P(H|D)
0,0.009901,0,3.87E-26,0
1,0.009901,1.18E-31,3.87E-26,3.01E-08
2,0.009901,4.43E-28,3.87E-26,0.000113
3,0.009901,2.18E-26,3.87E-26,0.005587
4,0.009901,1.80E-25,3.87E-26,0.045988
5,0.009901,5.49E-25,3.87E-26,0.140492
6,0.009901,8.88E-25,3.87E-26,0.227236
7,0.009901,9.19E-25,3.87E-26,0.235133
8,0.009901,6.81E-25,3.87E-26,0.174234
9,0.009901,3.89E-25,3.87E-26,0.09941
10,0.009901,1.79E-25,3.87E-26,0.045881
11,0.009901,6.93E-26,3.87E-26,0.017739
12,0.009901,2.30E-26,3.87E-26,0.005895
13,0.009901,6.71E-27,3.87E-26,0.001717
14,0.009901,1.74E-27,3.87E-26,0.000445
15,0.009901,4.05E-28,3.87E-26,0.000104
16,0.009901,8.58E-29,3.87E-26,2.19E-05
17,0.009901,1.66E-29,3.87E-26,4.25E-06
18,0.009901,2.96E-30,3.87E-26,7.58E-07
19,0.009901,4.88E-31,3.87E-26,1.25E-07
20,0.009901,7.48E-32,3.87E-26,1.91E-08
21,0.009901,1.07E-32,3.87E-26,2.73E-09
22,0.009901,1.42E-33,3.87E-26,3.63E-10
23,0.009901,1.77E-34,3.87E-26,4.53E-11
24,0.009901,2.07E-35,3.87E-26,5.30E-12
25,0.009901,2.28E-36,3.87E-26,5.82E-13
26,0.009901,2.35E-37,3.87E-26,6.01E-14
27,0.009901,2.28E-38,3.87E-26,5.84E-15
28,0.009901,2.09E-39,3.87E-26,5.34E-16
29,0.009901,1.79E-40,3.87E-26,4.59E-17
30,0.009901,1.45E-41,3.87E-26,3.72E-18
31,0.009901,1.11E-42,3.87E-26,2.84E-19
32,0.009901,7.97E-44,3.87E-26,2.04E-20
33,0.009901,5.39E-45,3.87E-26,1.38E-21
34,0.009901,3.43E-46,3.87E-26,8.77E-23
35,0.009901,2.05E-47,3.87E-26,5.24E-24
36,0.009901,1.15E-48,3.87E-26,2.94E-25
37,0.009901,6.06E-50,3.87E-26,1.55E-26
38,0.009901,2.99E-51,3.87E-26,7.66E-28
39,0.009901,1.38E-52,3.87E-26,3.54E-29
40,0.009901,5.99E-54,3.87E-26,1.53E-30
41,0.009901,2.42E-55,3.87E-26,6.18E-32
42,0.009901,9.10E-57,3.87E-26,2.33E-33
43,0.009901,3.19E-58,3.87E-26,8.15E-35
44,0.009901,1.04E-59,3.87E-26,2.65E-36
45,0.009901,3.13E-61,3.87E-26,8.01E-38
46,0.009901,8.73E-63,3.87E-26,2.23E-39
47,0.009901,2.25E-64,3.87E-26,5.76E-41
48,0.009901,5.34E-66,3.87E-26,1.37E-42
49,0.009901,1.16E-67,3.87E-26,2.97E-44
50,0.009901,2.32E-69,3.87E-26,5.93E-46
51,0.009901,4.22E-71,3.87E-26,1.08E-47
52,0.009901,6.99E-73,3.87E-26,1.79E-49
53,0.009901,1.05E-74,3.87E-26,2.69E-51
54,0.009901,1.42E-76,3.87E-26,3.64E-53
55,0.009901,1.74E-78,3.87E-26,4.44E-55
56,0.009901,1.90E-80,3.87E-26,4.86E-57
57,0.009901,1.85E-82,3.87E-26,4.73E-59
58,0.009901,1.60E-84,3.87E-26,4.09E-61
59,0.009901,1.22E-86,3.87E-26,3.12E-63
60,0.009901,8.15E-89,3.87E-26,2.08E-65
61,0.009901,4.75E-91,3.87E-26,1.22E-67
62,0.009901,2.40E-93,3.87E-26,6.13E-70
63,0.009901,1.04E-95,3.87E-26,2.66E-72
64,0.009901,3.85E-98,3.87E-26,9.84E-75
65,0.009901,1.20E-100,3.87E-26,3.08E-77
66,0.009901,3.10E-103,3.87E-26,8.06E-80
67,0.009901,6.80E-106,3.87E-26,1.75E-82
68,0.009901,1.20E-108,3.87E-26,3.11E-85
69,0.009901,1.70E-111,3.87E-26,4.47E-88
70,0.009901,2.00E-114,3.87E-26,5.14E-91
71,0.009901,1.80E-117,3.87E-26,4.65E-94
72,0.009901,1.30E-120,3.87E-26,3.26E-97
73,0.009901,6.80E-124,3.87E-26,1.70E-100
74,0.009901,2.70E-127,3.87E-26,6.90E-104
75,0.009901,7.70E-131,3.87E-26,2.00E-107
76,0.009901,1.60E-134,3.87E-26,4.00E-111
77,0.009901,2.20E-138,3.87E-26,5.70E-115
78,0.009901,2.10E-142,3.87E-26,5.30E-119
79,0.009901,1.30E-146,3.87E-26,3.20E-123
80,0.009901,4.60E-151,3.87E-26,1.20E-127
81,0.009901,1.00E-155,3.87E-26,2.60E-132
82,0.009901,1.20E-160,3.87E-26,3.10E-137
83,0.009901,7.40E-166,3.87E-26,1.90E-142
84,0.009901,2.20E-171,3.87E-26,5.60E-148
85,0.009901,2.80E-177,3.87E-26,7.20E-154
86,0.009901,1.40E-183,3.87E-26,3.60E-160
87,0.009901,2.30E-190,3.87E-26,5.90E-167
88,0.009901,1.10E-197,3.87E-26,2.80E-174
89,0.009901,1.10E-205,3.87E-26,2.90E-182
90,0.009901,2.10E-214,3.87E-26,5.30E-191
91,0.009901,4.40E-224,3.87E-26,1.10E-200
92,0.009901,6.50E-235,3.87E-26,1.70E-211
93,0.009901,3.40E-247,3.87E-26,8.70E-224
94,0.009901,2.20E-261,3.87E-26,5.60E-238
95,0.009901,3.50E-278,3.87E-26,9.00E-255
96,0.009901,9.40E-299,3.87E-26,2.40E-275
97,0.009901,0,3.87E-26,0
98,0.009901,0,3.87E-26,0
99,0.009901,0,3.87E-26,0
