,P(H),P(D|H),P(D),P(H|D)
0,0.009901,0,1.02E-19,0
1,0.009901,4.01E-29,1.02E-19,3.90E-12
2,0.009901,2.61E-25,1.02E-19,2.53E-08
3,0.009901,2.99E-23,1.02E-19,2.91E-06
4,0.009901,6.54E-22,1.02E-19,6.36E-05
5,0.009901,5.73E-21,1.02E-19,0.000558
6,0.009901,2.81E-20,1.02E-19,0.002733
7,0.009901,9.19E-20,1.02E-19,0.008938
8,0.009901,2.23E-19,1.02E-19,0.02167
9,0.009901,4.29E-19,1.02E-19,0.041693
10,0.009901,6.86E-19,1.02E-19,0.066677
11,0.009901,9.42E-19,1.02E-19,0.0916
12,0.009901,1.14E-18,1.02E-19,0.110756
13,0.009901,1.23E-18,1.02E-19,0.120051
14,0.009901,1.22E-18,1.02E-19,0.11832
15,0.009901,1.10E-18,1.02E-19,0.107227
16,0.009901,9.27E-19,1.02E-19,0.090157
17,0.009901,7.28E-19,1.02E-19,0.070843
18,0.009901,5.38E-19,1.02E-19,0.052334
19,0.009901,3.76E-19,1.02E-19,0.036525
20,0.009901,2.49E-19,1.02E-19,0.024183
21,0.009901,1.57E-19,1.02E-19,0.015242
22,0.009901,9.43E-20,1.02E-19,0.009171
23,0.009901,5.43E-20,1.02E-19,0.005281
24,0.009901,3.00E-20,1.02E-19,0.002917
25,0.009901,1.59E-20,1.02E-19,0.001548
26,0.009901,8.12E-21,1.02E-19,0.00079
27,0.009901,3.99E-21,1.02E-19,0.000388
28,0.009901,1.89E-21,1.02E-19,0.000184
29,0.009901,8.67E-22,1.02E-19,8.43E-05
30,0.009901,3.83E-22,1.02E-19,3.73E-05
31,0.009901,1.64E-22,1.02E-19,1.59E-05
32,0.009901,6.77E-23,1.02E-19,6.58E-06
33,0.009901,2.70E-23,1.02E-19,2.63E-06
34,0.009901,1.05E-23,1.02E-19,1.02E-06
35,0.009901,3.91E-24,1.02E-19,3.80E-07
36,0.009901,1.41E-24,1.02E-19,1.38E-07
37,0.009901,4.95E-25,1.02E-19,4.82E-08
38,0.009901,1.68E-25,1.02E-19,1.63E-08
39,0.009901,5.49E-26,1.02E-19,5.34E-09
40,0.009901,1.74E-26,1.02E-19,1.69E-09
41,0.009901,5.33E-27,1.02E-19,5.18E-10
42,0.009901,1.58E-27,1.02E-19,1.53E-10
43,0.009901,4.50E-28,1.02E-19,4.38E-11
44,0.009901,1.24E-28,1.02E-19,1.21E-11
45,0.009901,3.30E-29,1.02E-19,3.21E-12
46,0.009901,8.44E-30,1.02E-19,8.21E-13
47,0.009901,2.08E-30,1.02E-19,2.02E-13
48,0.009901,4.94E-31,1.02E-19,4.80E-14
49,0.009901,1.13E-31,1.02E-19,1.10E-14
50,0.009901,2.47E-32,1.02E-19,2.40E-15
51,0.009901,5.17E-33,1.02E-19,5.03E-16
52,0.009901,1.04E-33,1.02E-19,1.01E-16
53,0.009901,2.00E-34,1.02E-19,1.94E-17
54,0.009901,3.67E-35,1.02E-19,3.57E-18
55,0.009901,6.42E-36,1.02E-19,6.24E-19
56,0.009901,1.07E-36,1.02E-19,1.04E-19
57,0.009901,1.69E-37,1.02E-19,1.64E-20
58,0.009901,2.53E-38,1.02E-19,2.46E-21
59,0.009901,3.59E-39,1.02E-19,3.49E-22
60,0.009901,4.80E-40,1.02E-19,4.67E-23
61,0.009901,6.05E-41,1.02E-19,5.88E-24
62,0.009901,7.14E-42,1.02E-19,6.95E-25
63,0.009901,7.89E-43,1.02E-19,7.67E-26
64,0.009901,8.13E-44,1.02E-19,7.91E-27
65,0.009901,7.78E-45,1.02E-19,7.57E-28
66,0.009901,6.89E-46,1.02E-19,6.70E-29
67,0.009901,5.62E-47,1.02E-19,5.47E-30
68,0.009901,4.21E-48,1.02E-19,4.09E-31
69,0.009901,2.87E-49,1.02E-19,2.79E-32
70,0.009901,1.78E-50,1.02E-19,1.73E-33
71,0.009901,9.90E-52,1.02E-19,9.63E-35
72,0.009901,4.94E-53,1.02E-19,4.81E-36
73,0.009901,2.19E-54,1.02E-19,2.13E-37
74,0.009901,8.55E-56,1.02E-19,8.31E-39
75,0.009901,2.91E-57,1.02E-19,2.83E-40
76,0.009901,8.52E-59,1.02E-19,8.29E-42
77,0.009901,2.13E-60,1.02E-19,2.07E-43
78,0.009901,4.46E-62,1.02E-19,4.34E-45
79,0.009901,7.74E-64,1.02E-19,7.53E-47
80,0.009901,1.09E-65,1.02E-19,1.06E-48
81,0.009901,1.22E-67,1.02E-19,1.18E-50
82,0.009901,1.05E-69,1.02E-19,1.03E-52
83,0.009901,6.89E-72,1.02E-19,6.70E-55
84,0.009901,3.27E-74,1.02E-19,3.18E-57
85,0.009901,1.09E-76,1.02E-19,1.06E-59
86,0.009901,2.40E-79,1.02E-19,2.34E-62
87,0.009901,3.33E-82,1.02E-19,3.24E-65
88,0.009901,2.68E-85,1.02E-19,2.61E-68
89,0.009901,1.14E-88,1.02E-19,1.11E-71
90,0.009901,2.29E-92,1.02E-19,2.22E-75
91,0.009901,1.83E-96,1.02E-19,1.78E-79
92,0.009901,4.70E-101,1.02E-19,4.59E-84
93,0.009901,2.90E-106,1.02E-19,2.82E-89
94,0.009901,2.70E-112,1.02E-19,2.65E-95
95,0.009901,2.00E-119,1.02E-19,1.90E-102
96,0.009901,3.50E-128,1.02E-19,3.40E-111
97,0.009901,1.70E-139,1.02E-19,1.70E-122
98,0.009901,1.90E-155,1.02E-19,1.80E-138
99,0.009901,8.70E-183,1.02E-19,8.40E-166
100,0.009901,0,1.02E-19,0
