,P(H),P(D|H),P(D),P(H|D)
0,0,0,5.05E-14,0
1,0.00990099,4.01E-19,5.05E-14,7.85E-08
2,0.01980198,8.14E-17,5.05E-14,3.19E-05
3,0.02970297,1.23E-15,5.05E-14,0.000723811
4,0.03960396,6.39E-15,5.05E-14,0.005005726
5,0.04950495,1.83E-14,5.05E-14,0.017977658
6,0.059405941,3.61E-14,5.05E-14,0.042494446
7,0.069306931,5.47E-14,5.05E-14,0.075009057
8,0.079207921,6.80E-14,5.05E-14,0.106604894
9,0.089108911,7.26E-14,5.05E-14,0.128049174
10,0.099009901,6.86E-14,5.05E-14,0.134354849
11,0.108910891,5.85E-14,5.05E-14,0.126067297
12,0.118811881,4.58E-14,5.05E-14,0.107626846
13,0.128712871,3.32E-14,5.05E-14,0.084697482
14,0.138613861,2.26E-14,5.05E-14,0.062061806
15,0.148514851,1.45E-14,5.05E-14,0.042679549
16,0.158415842,8.84E-15,5.05E-14,0.027720422
17,0.168316832,5.13E-15,5.05E-14,0.017091517
18,0.178217822,2.85E-15,5.05E-14,0.010045478
19,0.188118812,1.52E-15,5.05E-14,0.005647519
20,0.198019802,7.77E-16,5.05E-14,0.003045606
21,0.207920792,3.84E-16,5.05E-14,0.001579222
22,0.217821782,1.83E-16,5.05E-14,0.000788898
23,0.227722772,8.44E-17,5.05E-14,0.000380294
24,0.237623762,3.77E-17,5.05E-14,0.000177147
25,0.247524752,1.63E-17,5.05E-14,7.98E-05
26,0.257425743,6.84E-18,5.05E-14,3.48E-05
27,0.267326733,2.78E-18,5.05E-14,1.47E-05
28,0.277227723,1.10E-18,5.05E-14,6.04E-06
29,0.287128713,4.23E-19,5.05E-14,2.40E-06
30,0.297029703,1.58E-19,5.05E-14,9.28E-07
31,0.306930693,5.72E-20,5.05E-14,3.48E-07
32,0.316831683,2.02E-20,5.05E-14,1.26E-07
33,0.326732673,6.91E-21,5.05E-14,4.47E-08
34,0.336633663,2.30E-21,5.05E-14,1.53E-08
35,0.346534653,7.44E-22,5.05E-14,5.10E-09
36,0.356435644,2.34E-22,5.05E-14,1.65E-09
37,0.366336634,7.14E-23,5.05E-14,5.18E-10
38,0.376237624,2.12E-23,5.05E-14,1.58E-10
39,0.386138614,6.09E-24,5.05E-14,4.65E-11
40,0.396039604,1.70E-24,5.05E-14,1.33E-11
41,0.405940594,4.60E-25,5.05E-14,3.69E-12
42,0.415841584,1.21E-25,5.05E-14,9.92E-13
43,0.425742574,3.06E-26,5.05E-14,2.58E-13
44,0.435643564,7.52E-27,5.05E-14,6.48E-14
45,0.445544554,1.79E-27,5.05E-14,1.58E-14
46,0.455445545,4.10E-28,5.05E-14,3.69E-15
47,0.465346535,9.08E-29,5.05E-14,8.36E-16
48,0.475247525,1.94E-29,5.05E-14,1.82E-16
49,0.485148515,3.99E-30,5.05E-14,3.83E-17
50,0.495049505,7.89E-31,5.05E-14,7.73E-18
51,0.504950495,1.50E-31,5.05E-14,1.50E-18
52,0.495049505,2.74E-32,5.05E-14,2.68E-19
53,0.485148515,4.78E-33,5.05E-14,4.59E-20
54,0.475247525,7.99E-34,5.05E-14,7.52E-21
55,0.465346535,1.28E-34,5.05E-14,1.17E-21
56,0.455445545,1.94E-35,5.05E-14,1.75E-22
57,0.445544554,2.81E-36,5.05E-14,2.48E-23
58,0.435643564,3.86E-37,5.05E-14,3.33E-24
59,0.425742574,5.02E-38,5.05E-14,4.23E-25
60,0.415841584,6.18E-39,5.05E-14,5.08E-26
61,0.405940594,7.16E-40,5.05E-14,5.75E-27
62,0.396039604,7.80E-41,5.05E-14,6.11E-28
63,0.386138614,7.95E-42,5.05E-14,6.08E-29
64,0.376237624,7.57E-43,5.05E-14,5.64E-30
65,0.366336634,6.71E-44,5.05E-14,4.86E-31
66,0.356435644,5.50E-45,5.05E-14,3.88E-32
67,0.346534653,4.16E-46,5.05E-14,2.86E-33
68,0.336633663,2.89E-47,5.05E-14,1.93E-34
69,0.326732673,1.83E-48,5.05E-14,1.19E-35
70,0.316831683,1.06E-49,5.05E-14,6.63E-37
71,0.306930693,5.49E-51,5.05E-14,3.33E-38
72,0.297029703,2.55E-52,5.05E-14,1.50E-39
73,0.287128713,1.06E-53,5.05E-14,6.01E-41
74,0.277227723,3.85E-55,5.05E-14,2.11E-42
75,0.267326733,1.22E-56,5.05E-14,6.48E-44
76,0.257425743,3.36E-58,5.05E-14,1.71E-45
77,0.247524752,7.86E-60,5.05E-14,3.85E-47
78,0.237623762,1.55E-61,5.05E-14,7.27E-49
79,0.227722772,2.52E-63,5.05E-14,1.13E-50
80,0.217821782,3.32E-65,5.05E-14,1.43E-52
81,0.207920792,3.49E-67,5.05E-14,1.44E-54
82,0.198019802,2.85E-69,5.05E-14,1.12E-56
