,P(H),P(D|H),P(D),P(H|D)
0,0.00990099,0,5.15E-15,0
1,0.00990099,4.01E-19,5.15E-15,7.70E-07
2,0.00990099,8.14E-17,5.15E-15,0.000156469
3,0.00990099,1.23E-15,5.15E-15,0.002365396
4,0.00990099,6.39E-15,5.15E-15,0.012268937
5,0.00990099,1.83E-14,5.15E-15,0.035250309
6,0.00990099,3.61E-14,5.15E-15,0.069435369
7,0.00990099,5.47E-14,5.15E-15,0.105054701
8,0.00990099,6.80E-14,5.15E-15,0.130643253
9,0.00990099,7.26E-14,5.15E-15,0.139487118
10,0.00990099,6.86E-14,5.15E-15,0.13172044
11,0.00990099,5.85E-14,5.15E-15,0.112359445
12,0.00990099,4.58E-14,5.15E-15,0.087930429
13,0.00990099,3.32E-14,5.15E-15,0.063874421
14,0.00990099,2.26E-14,5.15E-15,0.043460648
15,0.00990099,1.45E-14,5.15E-15,0.02789513
16,0.00990099,8.84E-15,5.15E-15,0.016985553
17,0.00990099,5.13E-15,5.15E-15,0.009856699
18,0.00990099,2.85E-15,5.15E-15,0.005471393
19,0.00990099,1.52E-15,5.15E-15,0.002914097
20,0.00990099,7.77E-16,5.15E-15,0.001492944
21,0.00990099,3.84E-16,5.15E-15,0.000737265
22,0.00990099,1.83E-16,5.15E-15,0.000351559
23,0.00990099,8.44E-17,5.15E-15,0.000162103
24,0.00990099,3.77E-17,5.15E-15,7.24E-05
25,0.00990099,1.63E-17,5.15E-15,3.13E-05
26,0.00990099,6.84E-18,5.15E-15,1.31E-05
27,0.00990099,2.78E-18,5.15E-15,5.35E-06
28,0.00990099,1.10E-18,5.15E-15,2.11E-06
29,0.00990099,4.23E-19,5.15E-15,8.12E-07
30,0.00990099,1.58E-19,5.15E-15,3.03E-07
31,0.00990099,5.72E-20,5.15E-15,1.10E-07
32,0.00990099,2.02E-20,5.15E-15,3.87E-08
33,0.00990099,6.91E-21,5.15E-15,1.33E-08
34,0.00990099,2.30E-21,5.15E-15,4.42E-09
35,0.00990099,7.44E-22,5.15E-15,1.43E-09
36,0.00990099,2.34E-22,5.15E-15,4.49E-10
37,0.00990099,7.14E-23,5.15E-15,1.37E-10
38,0.00990099,2.12E-23,5.15E-15,4.07E-11
39,0.00990099,6.09E-24,5.15E-15,1.17E-11
40,0.00990099,1.70E-24,5.15E-15,3.27E-12
41,0.00990099,4.60E-25,5.15E-15,8.83E-13
42,0.00990099,1.21E-25,5.15E-15,2.32E-13
43,0.00990099,3.06E-26,5.15E-15,5.88E-14
44,0.00990099,7.52E-27,5.15E-15,1.44E-14
45,0.00990099,1.79E-27,5.15E-15,3.43E-15
46,0.00990099,4.10E-28,5.15E-15,7.87E-16
47,0.00990099,9.08E-29,5.15E-15,1.74E-16
48,0.00990099,1.94E-29,5.15E-15,3.72E-17
49,0.00990099,3.99E-30,5.15E-15,7.66E-18
50,0.00990099,7.89E-31,5.15E-15,1.52E-18
51,0.00990099,1.50E-31,5.15E-15,2.88E-19
52,0.00990099,2.74E-32,5.15E-15,5.25E-20
53,0.00990099,4.78E-33,5.15E-15,9.18E-21
54,0.00990099,7.99E-34,5.15E-15,1.53E-21
55,0.00990099,1.28E-34,5.15E-15,2.45E-22
56,0.00990099,1.94E-35,5.15E-15,3.73E-23
57,0.00990099,2.81E-36,5.15E-15,5.40E-24
58,0.00990099,3.86E-37,5.15E-15,7.42E-25
59,0.00990099,5.02E-38,5.15E-15,9.65E-26
60,0.00990099,6.18E-39,5.15E-15,1.19E-26
61,0.00990099,7.16E-40,5.15E-15,1.38E-27
62,0.00990099,7.80E-41,5.15E-15,1.50E-28
63,0.00990099,7.95E-42,5.15E-15,1.53E-29
64,0.00990099,7.57E-43,5.15E-15,1.45E-30
65,0.00990099,6.71E-44,5.15E-15,1.29E-31
66,0.00990099,5.50E-45,5.15E-15,1.06E-32
67,0.00990099,4.16E-46,5.15E-15,8.00E-34
68,0.00990099,2.89E-47,5.15E-15,5.56E-35
69,0.00990099,1.83E-48,5.15E-15,3.52E-36
70,0.00990099,1.06E-49,5.15E-15,2.03E-37
71,0.00990099,5.49E-51,5.15E-15,1.05E-38
72,0.00990099,2.55E-52,5.15E-15,4.91E-40
73,0.00990099,1.06E-53,5.15E-15,2.03E-41
74,0.00990099,3.85E-55,5.15E-15,7.40E-43
75,0.00990099,1.22E-56,5.15E-15,2.35E-44
76,0.00990099,3.36E-58,5.15E-15,6.46E-46
77,0.00990099,7.86E-60,5.15E-15,1.51E-47
78,0.00990099,1.55E-61,5.15E-15,2.97E-49
79,0.00990099,2.52E-63,5.15E-15,4.83E-51
80,0.00990099,3.32E-65,5.15E-15,6.38E-53
81,0.00990099,3.49E-67,5.15E-15,6.71E-55
82,0.00990099,2.85E-69,5.15E-15,5.47E-57
83,0.00990099,1.75E-71,5.15E-15,3.36E-59
84,0.00990099,7.82E-74,5.15E-15,1.50E-61
85,0.00990099,2.45E-76,5.15E-15,4.71E-64
86,0.00990099,5.11E-79,5.15E-15,9.81E-67
87,0.00990099,6.68E-82,5.15E-15,1.28E-69
88,0.00990099,5.08E-85,5.15E-15,9.76E-73
89,0.00990099,2.05E-88,5.15E-15,3.93E-76
90,0.00990099,3.87E-92,5.15E-15,7.44E-80
91,0.00990099,2.93E-96,5.15E-15,5.64E-84
92,0.00990099,7.17E-101,5.15E-15,1.38E-88
93,0.00990099,4.17E-106,5.15E-15,8.01E-94
94,0.00990099,3.71E-112,5.15E-15,7.14E-100
95,0.00990099,2.55E-119,5.15E-15,4.89E-107
96,0.00990099,4.25E-128,5.15E-15,8.16E-116
97,0.00990099,1.99E-139,5.15E-15,3.82E-127
98,0.00990099,2.06E-155,5.15E-15,3.97E-143
99,0.00990099,9.14E-183,5.15E-15,1.76E-170
100,0.00990099,0,5.15E-15,0
